CropType,CropCode,CropDays,SoilMoisture,temperature,Humidity,Irrigation
Wheat,0001,10,400,30,15,0
Wheat,0001,7,200,30,32,0
Wheat,0001,9,300,21,28,0
Wheat,0001,3,500,40,22,0
Wheat,0001,2,700,23,34,0
Wheat,0001,6,800,21,29,0
Wheat,0001,5,500,33,26,0
Wheat,0001,8,350,21,28,0
Wheat,0001,11,123,17,45,0
Wheat,0001,12,543,25,53,0
Wheat,0001,13,425,33,22,0
Wheat,0001,14,555,32,55,0
Wheat,0001,19,649,29,61,0
Wheat,0001,16,230,28,71,0
Wheat,0001,17,430,23,72,0
Wheat,0001,20,330,31,80,0
Wheat,0001,21,432,22,34,1
Wheat,0001,21,210,26,50,0
Wheat,0001,23,150,22,30,0
Wheat,0001,24,600,40,30,1
Wheat,0001,25,700,41,30,1
Wheat,0001,26,200,22,34,0
Wheat,0001,27,350,34,43,0
Wheat,0001,28,700,37,32,1
Wheat,0001,29,220,34,32,0
Wheat,0001,30,400,34,32,0
Wheat,0001,34,800,34,32,1
Wheat,0001,37,700,30,22,1
Wheat,0001,39,350,23,21,0
Wheat,0001,41,570,23,15,0
Wheat,0001,42,880,22,15,1
Wheat,0001,45,700,21,15,1
Wheat,0001,46,300,20,14,0
Wheat,0001,48,730,21,13,1
Wheat,0001,50,400,19,12,0
Wheat,0001,55,700,19,12,0
Wheat,0001,56,800,23,16,1
Wheat,0001,59,930,22,15,1
Wheat,0001,62,250,21,15,0
Wheat,0001,62,990,21,15,1
Wheat,0001,65,660,23,15,0
Wheat,0001,66,700,25,17,1
Wheat,0001,70,990,24,19,1
Wheat,0001,74,600,23,15,0
Wheat,0001,77,450,21,14,0
Wheat,0001,80,850,22,16,1
Wheat,0001,82,200,21,17,0
Wheat,0001,82,770,23,18,1
Wheat,0001,85,300,25,19,0
Wheat,0001,85,690,22,18,1
Wheat,0001,87,300,21,14,0
Wheat,0001,88,880,22,15,1
Wheat,0001,90,300,26,18,0
Wheat,0001,91,760,27,19,1
Wheat,0001,93,400,25,18,0
Wheat,0001,95,600,29,15,1
Wheat,0001,98,300,27,12,0
Wheat,0001,99,720,28,19,1
Wheat,0001,102,230,30,29,0
Wheat,0001,105,306,32,67,0
Wheat,0001,106,601,35,35,1
Wheat,0001,108,340,23,32,0
Wheat,0001,110,990,32,34,1
Wheat,0001,112,550,28,40,0
Wheat,0001,115,750,29,38,1
Wheat,0001,117,850,25,32,1
Wheat,0001,119,670,35,45,0
Wheat,0001,121,990,34,26,1
Wheat,0001,125,300,32,44,0
Wheat,0001,132,600,22,21,0
Wheat,0001,132,800,33,31,0
Wheat,0001,140,400,23,27,0
Wheat,0001,145,667,24,34,0
Wheat,0001,156,880,34,33,0
Wheat,0001,160,980,23,22,0
Wheat,0001,165,775,32,21,0
Wheat,0001,166,832,33,32,0
Wheat,0001,170,677,32,45,0